,deu,nds
8595,Wir haben nun hier stundenlang gewartet.,Wi hebbt hier al Stünnen töövt.
16989,Ich war in Hawaii zum Windsurfen. Aber Mist! Der Wind war zu der Zeit leider nur sehr schwach.,Ik wat en Hawai om Windsurfen to maken. Aver Schiet! De Wind wat dunn bloot bannig pimpelig.
12880,"Ich weiß, dass ihr euch hinter dem Vorhang versteckt.","Ik weet, dat ji jo achter ’n Vörhang versteekt."
43091,"Für Szenen, die sich nicht auf der Insel abspielten, wurden verschiedene Schauplätze in und um Honolulu genutzt.","För Szenen, de nich op dat Eiland spelen doot, sünd verschedene Öörd in un üm Honolulu nütt worrn."
7763,Einen Wolf kann man nicht zähmen.,Em Wulv lett sik nich tähmen.
8668,Der Mann isst Brot.,De Mann itt Broot.
7255,Die Preise hängen von Angebot und Nachfrage ab.,De Priesen hängt vun Anbott un Nafraag af.
5527,"Ich habe einen zweisprachigen Koran, gedruckt in Arabisch und Esperanto.","Ik heff en tweesprakigen Koraan, druckt in Araabsch un Esperanto."
10503,Sie liest gerne.,Se leest geern.
45200,Danach arbeitete er als freischaffender Musiker auf Kuba und in Florida.,Dornah hett he as freeschaffend Musiker op Kuba un in Florida arbeit.
11339,Ich habe seinen Roman nicht gelesen und mein Bruder auch nicht.,Ik heff sien Romaan nich leest un mien Broder ok nich.
11652,Dieses Land ist mein Eigentum.,Dit Land is mien Egendom.
6959,Ich erwähnte die Schönheit der Aussicht.,"Ik heff dar vun snackt, wo schöön de Utsicht is."
822,Junko ist ein hübsches Mädchen.,Junko is en smucke Deern.
12282,"Auch das Hirn muss sich anstrengen, wenn das Herz spricht.","Ook de Bregen mutt sik anstrengen, wenn dat Hart snackt."
27850,Am Siedepunkt liegen 16 % der Atome als Dimer vor.,An’n Kaakpunk leegt 16 % vun de Atomen as Dimer vör.
609,Sein Sohn wurde von der Schule geworfen.,Sien Söhn is ut de School smeten worrn.
1550,Das Schiff segelt morgen nach Honolulu.,Dat Schipp seilt morgen na Honolulu.
29303,Im gleichen Jahr gewann er mit Frank Hunter das Herrendoppel in Wimbledon.,In dat glieker Jahr wunnern he mit Frank Hunter dat Herrendüppel in Wimbledon.
27273,"Jack Kapp setzte Herman als B-Band mit Titeln ein, die sonst niemand spielen wollte.","Jack Kapp hett Herman as B-Band mit Titeln insett, de sonst nümms spelen woll."
15540,Die Atombombe ist eine große Gefahr für die Menschheit.,De Atoombumm is en groot Gefahr för de Minschheid.
10857,Er kann Karotten nicht ausstehen.,He kann Wuddeln nich af.
18258,Das Filmstudio änderte ihren Namen in Joan Lorring um.,Dat Filmstudio hett hör Naam in Joan Lorring ännern.
20958,"Er absolvierte 3900 Flugstunden, 3500 davon in Jets.","He hett 3900 Floogstünnen schafft, dorvan 3500 in Jets."
763,Das Abendessen kann warten.,Dat Avendeten kann töven.
12083,Er möchte sie küssen.,He will ehr küssen.
6456,"Vergiss nicht, die Tür zu schließen.","Vergeet nich, de Döör dichttomaken."
7720,Die Königin wird nächstes Jahr in China zu Besuch sein.,De Köningin schall tokamen Jahr in China to Besöök wesen.
43891,1987 gewann er den Bird Award.,1997 kreeg he den Bird Award.
3188,Trang ist genauso schön wie Dorenda.,Trang is jüstso schöön as Dorenda.
7372,Damit hat er sich selbst ins Knie geschossen.,Dor hett he sik sülvs mit in ’t Knee schaten.
4070,Alle diese Bücher gehören mir.,All düsse Böker höört mi to.
6005,"Du bist so dumm, dass dich die Gänse beißen.","Du büs sau dumm, dat di de Gäuse biet."
16632,Wir haben die Nachrichten gesehen.,Wi hebbt de Narichten sehn.
4779,Worum geht es?,Wo geiht dat üm?
10212,Ich bin letztes Jahr nach London gefahren.,Ik bün vergangen Jahr na London föhrt.
28734,"Seine Begleiterin in diesen Jahren war die Malerin Françoise Gilot, die er 1943 in Paris kennengelernt hatte.","Sien Begleiterin in düsse Johren weer de Malerin Françoise Gilot, de he 1943 in Paris kennen lehrt harr."
16206,Was hat Tom über mich gesagt?,Wat hett Tom över mi seggt?
5642,Der Hund ist das treueste aller Tiere.,De Hund is dat trooste vun all Deerten.
10671,Leg nicht auf; ich habe noch nicht zu Ende gesprochen.,Legg nich op; ik heff noch nich utsnackt.
40828,"Bereits im Alter von 22 Jahren erhielt Maurice Allais die erste von zahlreichen Auszeichnungen, die ihm zugesprochen wurden.","All mit 22 Johren kreeg Maurice Allais de eerste vun tallriek Utteknungen, de em tospraken wurrn."
6823,Warum bist du so wütend?,Worüm büst du so gnatterig?
2578,Er wurde für Trunkenheit am Steuer bestraft.,He is för Dunast an ’t Stüer bestraaft worrn.
16331,Tom spricht besser Russisch als Englisch.,Tom snackt beter Russ’sch as Engelsch.
14179,Sie essen Butterbrote.,Se eet Botterbrood.
20926,Von den 128 Delegierten kam eine Gegenstimme.,Vun de 128 Delegeerten keem en Gegenstimm.
9420,Unsere Fabrik baut einen neuen Schornstein.,Uns Fabrik boot en nee’en Schorsteen.
6255,Ich hatte viel Spaß auf der Party.,Ik harr veel Spaß op de Party.
10241,Wir wollen alle lieber viel Geld bekommen.,Wi kriegt all lieker veel Geld.
9594,Das Loch ist groß genug.,Dat Lock is groot noog.
21507,"Die Serie war umstritten, weil sie an südafrikanischen Schauplätzen gedreht worden war, während das damalige Apartheidregime noch weltweit boykottiert wurde.","De Serie weer ümstreden, wiel se in Süüdafrika dreiht worrn is, wiel dat dormolige Apartheidregime noch op de ganzen Welt boykotteert worrn is."
10436,Hast du das auf dem Schwarzmarkt gekauft?,Hest du dat op ’n Swartmarkt köfft?
872,Setz dich und entspann dich.,Sette di daal un resse di.
1855,Seine Haare sind lang.,Sien Hoor is lang.
17459,"Ihr solltet Tom sagen, dass Maria das nicht muss.","Du schußt Tom man seggen, dat Ria dat nich mutt."
17033,"Wenn du alles aufisst, dann gibt es morgen wieder was Gutes.","Un wenn du allens opeeten dost, denn gifft et morgen wat goods wedder."
8901,Ich bin nicht intelligenter als er.,Ik bün nich plietscher as se.
29482,Er wirkte auch bei dessen Session 1948 mit Stan Hasselgård (At Klick) mit.,He hett ok an Goodmans Session 1948 mit Stan Hasselgård (At Klk) mitwarkt.
12105,Dieses Buch ist in Englisch geschrieben.,Dit Book is op Engelsch schrieven.
24828,1866 machte er eine Spektralanalyse von Sonnenflecken.,1866 hett he en Spektralanalyse vun Sünnenflecken maakt.
9164,Ich esse gerne eine heiße Suppe.,Ik eet geern hete Supp.
45401,Seit 2012 widmet Hockfield sich wieder ihrer wissenschaftlichen Karriere.,Siet 2012 befaat se sück weer mit hör wetenschaplich Karriere.
2271,Er fiel in den Fluss.,He füll in ’n Stroom.
1015,Er arbeitet in einer Bank.,He arbeidt bi de Bank.
6028,"Ich glaube, dass du Recht hast.","Ik lööv, dat du recht hest."
40985,Zwischen 1918 und 1933 war er im Metallarbeiterberuf tätig.,Tüschen 1918 un 1933 weer he as Metallarbeiter tätig.
34036,Einen Tag später ging er in etwa 90 Mio. km Abstand an der Venus vorüber.,Een Dag later passeer he de Venus in en Afstand vun ruchweg 90 Millionen Kilometer.
5568,"Er war betrunken und hat vergessen, die Hintertür zu schließen.","He weer duun un hett vergeten, de Achterdöör dicht to maken."
8705,"Meine Katze schnurrt, wenn ich sie hinter dem Ohr kraule.","Mien Katt snurrt, wenn ik ehr achter de Ohren krau."
7625,Sie flogen via New York nach Paris.,Se flögen över New York na Paris.
4422,Ich bin öfters erkältet.,Ik bün faken verköhlt.
31513,1956 begann Peter Mansfield sein Studium der Physik am Queen Mary College der University of London.,1956 fung Peter Mansfield sien Physikstudium an dat Queen Mary College vun de University of London an.
28457,"In Deutschland kam der Film nicht in die Kinos, sondern wurde nur auf DVD und Blu-ray veröffentlicht.","In Düütsland is de Film nich in de Kinos kamen, man he weer op DVD un Blu-Ray publizeert."
162,"Ich kann es gar nicht erwarten, in den Urlaub zu fahren.","Ik kann dat gornich aftöven, in de Feern to föhren."
15558,Er packte mich bei meinem Kragen.,He pack mi bi mien Kraag.
18769,Sein Hauptinteresse lag zuerst in Chemie und später wieder bei der Biologie.,Sien Hööftinteresse leeg toeerst in Chemie un later weer bi de Biologie.
9177,Die Tochter von einem König ist eine Prinzessin.,De Dochter vun en Köning is en Prinzess.
16204,Das ist nicht so einfach.,Dat is nich so licht.
45913,Hurwicz gilt als Begründer der Theorie; Maskin und Myerson hatten sie wesentlich weiterentwickelt.,Hurwicz gellt as Begrünner vun de Theorie; Maskin un Myerson harrn de wesentlich wiederentwkelt.
45464,Bergman besuchte die Schauspielschule des Königlichen Dramatischen Theaters in Stockholm und hatte 1935 ihre erste Sprechrolle in einem schwedischen Film.,Bergman hett de Schauspeelschool vun dat Königlich Dramatisch Theater besöcht un harr 1935 hör eerst Spreekrull in en sweedschen Film.
575,George ist sehr geschwätzig.,George is temlich spreeksch.
13962,Geh doch zum Arzt!,Gah doch na ’n Dokter!
43444,In der Erdumlaufbahn führte Sojus 7 ein Rendezvous mit Sojus 6 und Sojus 8 durch.,In de Eerdumloopbahn hett Sojus 7 en Rendezvous mit Sojus 6 un Sojus 8 dörführt.
5254,Der Erste Weltkrieg brach 1914 aus.,De Eerste Weltkrieg deed 1914 utbreken.
19458,Noch am selben Abend erhielt Scott ein besorgniserregendes Telegramm aus Madeira.,Noch an de sülvig Avend kreeg Scott en Telegramm ut Madeira.
1175,Diese Hunde sind groß.,Disse Hunnen sünd groot.
37630,Er ist mit Eileen O’Keefe verheiratet (Professorin für Public Health) und hat mit ihr zwei Söhne.,He is mit Eileen O’Keefe verheiraadt (Perfessersche för Public Health) un hett mit hör twee Söhns.
8470,Der Juckreiz trat einige Stunden nach dem Essen auf.,Dat Jöken füng en paar Stünnen na ’t Eten an.
10843,Sie wendete ihren Blick ab.,Se deed ehren Blk afwennen.
2510,Du stehst um sechs Uhr auf?,Du kummst Klock söss op?
28339,Neben seinem Lehramt für Hebräisch beschäftigte er sich mit Astronomie.,Neben sien Lehramt för Hebräisch hett he sück mit de Astronomie beschäftigt.
14775,"Manche Menschen trinken wenig Alkohol, manche viel.","Welk Lüüd drinkt wenig Alkohol, welk veel."
10053,Ich habe das nicht gemocht.,Ik heff dat nich müggt.
15211,John konnte keine Gitarre spielen.,John kunn keen Gitarr spelen.
7874,Hier kommt Jane. Kennst du sie?,Huer kummt Jane. Kennst du ehr?
6480,"Übersetzen hilft uns, unsere Muttersprache besser kennenzulernen.","Översetten helpt uns, uns Moderspraak beter kennentolehren."
4746,Sage ihr nichts davon!,Segg ehr dar nix vun!
15479,Ist sie weg?,Is se weg?
13586,Sie wiederholte langsam seinen Namen.,Se deed sachten sien Naam naseggen.
15465,Nach dem Spiel ist vor dem Spiel.,Na ’t Speel is vör ’t Speel.
3115,Das ist einer der Schüler meines Vaters.,Dat is een vun de Schölers vun mien Vadder.
14944,Aus nichts wird nichts.,Ut nix warrt nix.
8995,Ich muss Sie untersuchen.,Ik mutt di ünnersöken.
22393,Er trat in den Malteserorden ein und gehörte der kastilischen Zunge des Ordens an.,He is in’n Malteserorden intreden un hett to de kastielsche Tung vun’n Orden höört.
46191,Becker hat zwei Schwestern und einen Bruder.,Bäcker hett twee Süsters un een Bröer.
29832,Im hebräischen wird Saturn als Shabbathai bezeichnet.,In’t Hebrääsche warrt de Planet as Shabbathai betekent.
14970,Der Tod gleicht alles aus.,De Dood maakt allens liek.
28124,Sie zählt mit ihrem Ehemann Vincent Ostrom zu den Begründern der Bloomington School.,Se tellt mit hör Mann Vincent Ostrom to de Begrünner vun de Bloomington School.
14526,Wasser ist wichtig.,Water is wichtig.
19692,Er ist in Japan ein bekannter Förderer japanischer Kunst.,He is in Japan en bekannt Förderer vun japaansch Kunst.
9661,Sie schaute ihm beim Schwimmen zu.,Se keek em bi ’t Swemmen to.
7057,Ich habe alle Bücher entsorgt.,Ik heff all Böker wegsmeten.
8679,Mache deine Augen auf.,Maak dien Ogen apen.
11866,Dein Englisch wird immer besser.,Dien Engelsch warrt ümmer beter.
33232,Ebenso engagierte sich Pinter für Kampagnen gegen den Irakkrieg.,Ebenso hett sück Pinter för Kampagnen gegen den Irakkrieg insett.
20678,1959/60 arbeitete Turrentine bei Max Roach.,1959/60 hett Turrentine bi Max Roach arbeit.
41648,Im März 1897 legte er in Kristiansund sein Steuermannsexamen ab.,In’ März 1897 hett he in Kristiansund sien Stüermannsexamen afleggt.
33640,Er traf Derain durch Vermittlung von Alice Princet.,He hett Derain dör Vermittlung vun Alice Princet drapen.
15804,Ich habe beim Schwimmen einen Krampf im Bein bekommen.,Ik heff bi ’t Swemmen en Ramm in ’t Been kriegen.
11506,Er ist auf einem guten Weg.,He is op en goden Weg.
11010,Mein Leben bedeutet nichts ohne dich.,Mien Leven deed nix bedüden ahn di.
26684,Zu seinen Doktoranden zählen Roman Jackiw und Michael Peskin.,To sien Doktoranden tellen Roman Jackiw un Michael Edward Peskin.
15771,Du musst zwischen den Zeilen lesen.,Du musst twischen de Regen lesen.
783,Ich habe dich für deinen Vater gehalten.,Ik heff di för dien Vadder hollen.
17808,"Dies setzt sich in die Einheit, Transparenz und Kampf gegen Ignoranz um.","Dat setten sück in de Eenheit, Transparenz un Kampf gegen Ignoranz üm."
13419,"Weisst du, wo ich wohne?",Weetst du woneem ik wahn?
3093,Wir hören Musik.,Wi höört Musiek.
26396,"Die erste Einsatzgruppe, das Einsatzkommando Österreich, stand unter Befehl von Franz Six, einem späteren Angeklagten im Einsatzgruppen-Prozess.","De eerste Insatzgrupp, dat Insatzkommando Öösterriek, stunn ünner den Befehl vun Franz Six, de later ok bi de Insatzgruppen-Prozess anklaagt weer."
31769,"1669: Die Belagerung von Candia, die längste der Historie, geht nach über 21 Jahren Dauer zu Ende.","1669: De längste Belagern in de Historie, de Belagern vun Candia, geiht na eenuntwintig Jahr to Enn."
3083,"Mach, was er dir sagt.","Maak, wat he di seggt."
22412,"Er ist Rekordsieger des ATP-Turniers in Amersfoort, wo er sechsmal gewinnen konnte, davon fünfmal in Folge.","He is todem Rekordsieger vun dat ATP-Turnier in Amersfoort, wo he söss Maal winnen kunn, dorvan fief Maal in Reeg."
6280,"Das Preisgeld ermöglichte es mir, eine Weltreise zu machen.",Mit dat Priesgeld kunn ik en Weltreis maken.
8103,"Chris, du bist ja von oben bis unten nass!",Chris du büst ganz un gaar natt!
29289,"Um die zwei Unbekannten Dichte und Volumen zu bestimmen, sind zwei Messungen erforderlich.","Üm de beden Unbekannten Decht un Volumen to bestimmen, sünd twee Meten nödig."
27088,Es lag auf einem felsigen Steilufer hoch über dem Missouri.,Dat leeg op en felsig Steilufer hooch över den Missouri.
4716,Tom spielt gern Baseball.,Tom speelt geern Baseball.
5211,Fangen wir mit dieser Frage an.,Fangt wi mit düsse Fraag an.
39441,"Von 1887 bis 1898 war er nebenher als Dozent für Verwaltungswissenschaften an der Johns Hopkins University tätig, an der er studiert hatte.","Van 1887 bet 1898 weer he nevenbi as Dozent för Verwaltenswetenschapen an de Johns Hopkins University tätig, an de he studeert harr."
25115,Nach dem Umbau 1938 erfüllte das Schloss die Funktion als Gästehaus bis zum Beginn des Zweiten Weltkriegs allerdings nur ein Mal.,Nah den Umbau 1938 harr dat Slott de Funktschoon as Gästehuus bet to’n Anfang vun den Tweeten Weltkriegs allerdings bloot een Maal.
11888,Italien ist in Europa.,Italien is in Europa.
1106,Ich kann kein Fleisch essen.,Ik kann keen Fleesch eten.
21835,"Michael Murphys Vater, Bearl Branton Murphy, war ein Verkäufer.","Michael Murphys Vadder, Bearl Branton Murphy, weer en Verkööper."
10988,Kannst du gut kochen?,Kannst du goot kaken?
14516,Selbst im Winter haben wir nicht viel Schnee.,Sülvs in ’n Winter hebbt wi nich veel Snee.
20706,Nach 1934 begann er seine wissenschaftlichen Arbeiten als Benjamin de Jekhowsky zu unterzeichnen.,Na 1934 füng he an sien wetenschoppliche Arbeiten as Benjamin de Jekhowsky to ünnerschrieven.
15294,Ein seltsames Wesen kam plötzlich zur Türe herein.,En gediegen Postüür keem opmaal rin ’e Döör.
20776,"Herbert Hoover hatte einen älteren Bruder, Theodor, und eine jüngere Schwester, Mary.","Herbert Hoover harr en ölleren Bröer, Theodor, un en jüngere Süster, Mary."
10551,"Als ich das hörte, verschlug es mir die Sprache.","As ik dat höört heff, is mi de Spraak wegbleven."
13123,Der Unterricht endet im Juni.,De Ünnerricht höört in ’n Juni op.
13100,Was wisst ihr davon?,Wat weet ji dorvon?
23674,Herbert Henzler bezeichnete ihn in einem Vortrag als „Legende“ und „Superstar“ beim VfB.,Herbert Henzler hett em in en Vördrag as „Legende“ un „Superstar“ bi den VfB beschreeven.
29597,Seit 1980 war er Mitglied der Mingus Dynasty.,Siet 1980 weer he Liddmaat in de Mingus Dynasty.
14661,Ich habe ihm eine Puppe gekauft.,Ik heff em en Popp köfft.
31508,Sein Vater starb als er 13 Jahre alt war.,Sien Vadder is al doodbleven as he 13 Jahr oolt weer.
21525,1967 gewann Pingeon die Tour de France; der Sieg wurde überschattet vom Tod seines Mannschaftskameraden Tom Simpson.,1967 wunnern Pingeon die Tour de France; de Sieg stunn aver in den Schadden vun den Dood vun sien Mannschapskameraden Tom Simpson.
15103,Dieser Tisch ist aus Holz gemacht.,Düssen Disk is ut Holt maakt.
1234,Ich habe das Bild für 20000 Yen verkauft.,Ik heff dat Bild för 20.000 Yen verköfft.
11899,Ist das Glas halb voll oder halb leer?,Is dat Glas half vull oder half leddig?
724,Ich habe meine Uhr verloren.,Ik heff mien Klock verloren.
27384,Menke“) lebte in Maschen.,Menke) leevt in Maschen.
13068,Wie viel Liter Wasser sind in dem Schwimmbad drin?,Woveel Liter Water sünd dar in ’t Swemmbad?
44235,1830: Die Münchner Glyptothek wird eröffnet.,1830: In München warrt de Glyptothek apen maakt.
11450,Was ist schwerer: ein Kilo Gold oder ein Kilo Silber?,Wat is sworer: een Kilo Gold oder een Kilo Sülver?
834,Bob und Tom sind Brüder.,Bob un Tom sünd Broder.
4161,Das Flugzeug ist pünktlich abgeflogen.,De Fleger is op de Tied loosflagen.
23532,"Der Film wurde von den Büchern von Maurice Sendak und Lewis Carroll inspiriert, die man zu Beginn in Sarahs Zimmer stehen sieht.","De Film is vun de Böker vun Maurice Sendak un Lewis Carroll inspireert, de to Anfang vun’n Film in Sarahs Slaapkamer to sehn sünd."
41047,Gebaut wird das Fahrzeug in Georgetown.,De Sitt vun de Verwalten is in Georgetown.
997,Ich weiß.,Ik weet.
33695,"Sie ist nicht zu verwechseln mit der gleichnamigen Whiskybrennerei, die zwischen 1830 und 1852 in Campbeltown bestand.","Se is nich to verwesseln mit de Brenneree ünner glieken Naam, de twischen 1830 un 1852 in Campbeltown bedreven worrn is."
44363,"Als Jack zur Hintertür gehen will, stellt sich Will ihm in den Weg.","As Jack na Huus kummt, man nümms dar is warrt he achterbang."
31666,"Musmanno verbrachte schlaflose Nächte mit dem Gedanken daran, einem Menschen ins Gesicht zu sehen und ihm zu verkünden, dass er sterben müsse.","Musmanno verbroch slaaploos Nachten mit den Gedank daran, en Minsch in’t Gesicht to sehn un em to seggen, dat he starven moot."
17425,Da kannst du nichts machen.,Do kanns nix maken.
43078,1978 erhielt er einen Master im Fach Maschinenbau und einen Abschluss in Meerestechnik vom MIT.,1978 kreeg he en Master in dat Fack Maschinenbau un en Afsluss in Meerestechnik vun dat MIT.
41711,"Dies ist die höchste Energie, die ein über längere Zeit stabiles Isotop aussendet.","Dat is de hööchste Energie, de en över längere Tiet bestännig Isotop afstrahlen deit."
22405,"Mitte Januar gelangen Bjørndalen in Ruhpolding zwei weitere Weltcupsiege, außerdem war er dort auch mit der norwegischen Staffel erfolgreich.","Midden Januar hett Bjørndalen in Ruhpolding twee Weltcupsiege haalt, buterdem weer he dar ok mit de norweegsch Staffel vörn."
30337,Der Film ist im Rahmen einer Seminararbeit an der dffb entstanden.,De Film weer in’n Rahmen vun en Seminararbeit an de dffb maakt.
35800,Ab Juni 1968 war er Oberstadtdirektor der Stadt Cuxhaven.,Juni 1968 is he Oberstadtdirekter vun de Stadt Cuxhoben worrn.
29339,"1962 erwarb Masukawa seinen Studienabschluss an der Universität Nagoya, 1967 den Doktorgrad.","1962 kreeg Masukawa sien Studienafsluss an de Universität Nagoya, 1967 hett he sien Dokterteitel kreegen."
12569,Liebe ist blind.,Leevd is blind.
13739,Erkläre es mir.,Verkloor mi dat.
3936,Gefällt euch das?,Gefallt jo dat?
14620,Wir schwimmen ab und zu im Meer.,Wi swemmt af un to in ’t Meer.
14522,Ich will Sex mit ihm haben.,Ik will Sex mit em hebben.
30901,"Leider, ist das nicht so einfach, wie sie gedacht haben.","Dat weer aver nich so eenfach, as se dacht hett."
6353,Einer von uns beiden muss hingehen.,Een vun uns beid mutt hengahn.
14108,"Jetzt wächst zusammen, was zusammen gehört!","Nu wasst tohoop, wat tohoop höört!"
32910,1825 übernahm Stürenburg die Kanzlei seines Vaters in Aurich.,1825 hett Stürenburg de Kanzlie vun sien Vadder in Auerk övernahmen.
12462,Da brauchst du mir nicht für zu danken.,Dor bruukst du mi nich för to danken.
35010,Seit 1969 war er Bundestrainer im Juniorenbereich.,Seit 1969 weer he denn Bundstrainer in den Juniorenberiek.
14569,Brian nahm ein paar Rosen.,Brian nöhm en paar Rosen.
3804,Ich flog nach Kyushu.,Ik bün na Kyushu flagen.
17307,Ich habe mein Fahrrad an Tom verkauft.,Ik heff Tom mien Fohrrad verköfft.
24813,Vom Musculus pectoralis minor wird sie in drei Teile unterteilt.,Vun’n Musculus pectoralis minor warrt se in dree Afsnitten ünnerdeelt.
4090,Er trug eine hellblaue Krawatte.,He harr en hellblauen Slips üm.
6578,Du fährst zu schnell.,Du föhrst to gau.
16046,Ich habe zu viele Bücher.,Ik heff to veel Böker.
2851,Was möchtest du haben?,Wat wullt du hebben?
20997,"Es wurde bei regelmäßigen Übungen sowie den Terminal Countdown Demonstration Tests aktiviert, musste jedoch noch nie im Ernstfall verwendet werden.","Dat wurrd bi regelmaatig Öven as ok bi de Terminal Countdown Demonstration Tests aktiveert, muss aver nie in‘ Ernstfall brukkt wurrn."
3796,Du hast Augenringe.,Du hest Ringen ünner de Ogen.
2713,Sie versorgte seine Wunde.,Se deed sien Wunn versorgen.
13813,Sein Vater ist letztes Jahr gestorben.,Sien Vadder is vergangen Jahr doodbleven.
3508,"Der Lehrer erzählte, dass die Erde eine Kugel sei.","De Lehrer vertellt, dat de Eerd en Kugel is."
5954,Gib es auf!,Giff op!
13200,Mach deinen Mund weit auf.,Do dien Mund wiet apen.
8254,Ich schrieb den Brief dreimal.,Ik heff den Breef dree Kehr nee schrieven.
4671,Sie gab ihnen einige Äpfel.,Se geev jem en paar Appels.
8423,Er schaute sich im Wartezimmer um.,He keek sik in de Töövstuuv üm.
8377,Der Hund springt.,De Hund springt.
17106,Johanna isst Tomaten.,Hanna itt Tomaten.
16501,Von wem redest du?,Vun ’keen körst du?
10279,Die Säulen waren aus Marmor.,De Sülen weren vun Marmelsteen.
3710,"Dieses Buch ist dick, aber nicht sehr teuer.","Dit Book is dk, man nich besünners düer."
13745,"Wenn du willst, komme ich dich morgen besuchen.","Wenn du wullt, denn kaam ik di morgen besöken."
41482,1927 verlegte er das Büro nach Turku.,1927 güng he mit sien Kontoor na Turku.
13812,Sie schält Kartoffeln.,Se schellt Kartuffeln.
3141,Sie ist sehr stolz auf ihre Briefmarkensammlung.,Se is bannig stolt op ehr sammelt Breevmarken.
3722,Die Europäer trinken gerne Wein.,De Europäers drinkt geern Wien.
45021,Die aktive Zeit Fausto Coppis wird als der Beginn der „goldenen Zeit des Radsports“ bezeichnet.,De aktiv Tiet vun Fausto Coppi wurrd as Anfang vun de „gollen Tiet vun den Radsports“ betekent.
44208,Er war aber von 1938 bis 1943 in der Band von Paul Whiteman und 1943 in der von Benny Goodman.,Van 1938 bet 1943 weer he in de Band vun Paul Whiteman un 1943 in de vun Benny Goodman.
23255,McAuliffe war das älteste Kind von Edward und Grace Corrigan.,McAuliffe weer dat öldste Kind vun Edward un Grace Corrigan.
3439,Er schrieb einen Brief.,He hett en Breef schrieven.
826,Was für eine schöne Blume!,Wat för en schöön Bloom!
976,Ich habe ein Problem mit meinem Auto.,Ik heff en Probleem mit mien Wagen.
41319,Dieser Effekt ist schon seit über zweitausend Jahren bekannt.,Dit Effekt is al siet över 2000 Jahr künnig.
45249,Sein Debüt gab er 1996 mit seinen Brüdern in dem Film Durchgeknallt von Wes Anderson.,Sien Debüt harr he 1996 tosamen mit sien Broder in den Film Bottle Rocket vun Wes Anderson.
16054,Der Junge trinkt Milch.,De Jung drinkt Melk.
15562,Er brach den Weltrekord.,He bröök den Weltrekord.
20929,Seine Eltern betrieben ein Bekleidungsgeschäft.,Sien Öllern hebbt en Laden för Kledaasch bedreven.
4777,"Der Frühling sät, der Herbst erntet.","Dat Vörjahr seit, de Harvst aust."
45935,Er engagierte sich in den 1920er Jahren für die SPD und die Gewerkschaft.,He weer in de Johren 1920 för de SPD un de Gewerkschaft aktiv.
14212,Warum bist du hier?,Worüm büst du hier?
7204,Sie hielt den Atem an.,Se hööl de Luft an.
16769,"Es ist schon fast sieben, wir müssen zur Schule gehen.",Dat is dicht an söven. Wi mööt na School (gahn).
23902,"1971 konnte der Wirkstoff aus Artemisia annua isoliert werden, 1972 wurde er vorgestellt.","1971 kunn de Wirkstoff ut Artemisia annua isoleert wurrn, 1972 wurr he vörstellt."
16794,Ein schwarzes Schaf kriegt ein schwarzes Lamm — der Apfel fällt nicht weit vom Stamm!,"Swattet Schaap, swattet Lamm — dä Appel fallt nich wiet vun ’n Stamm!"
15243,Vielleicht ändert er seine Meinung.,Villicht ännern he sien Verscheel.
12983,Ich weiß es mit Sicherheit.,Ik weet dat wiss.
33549,In seiner Heimatstadt Moorslede ist eine Straße nach Cyrille Van Hauwaert benannt.,In sien Heimatstadt Moorslede is en Straat nah Cyrille Van Hauwaert nömmt wurrn.
16708,"Was nötig ist, das muss gemacht werden!","Wat mutt, dat mutt!"
11859,Was willst du nun?,Wat wullt du nu?
7908,"Bell hat früher in London gewohnt, oder?","Bell hett fröher in London wahnt, oder nich?"
17194,"Tom hat mir noch nicht gesagt, was ich tun soll.","Tom hett mi noch nich seggt, wat ik doon schall."
40129,Er selbst wurde mehrere Male von der Bühne weg verhaftet.,He sülvst wurr mehrere Male vun de Bühne weg verhaft.
6710,"Montag, Dienstag, Mittwoch, Donnerstag, Freitag, Samstag, Sonntag und Feiertag sind die Tage der Woche.","Maandag, Dingsdag, Middweken, Dunnersdag, Freedag, Sünnavend, Sünndag un Fierdag sünd de Daag vun de Week."
16323,"Ich habe alles gesehen, aber ich werde nichts sagen!","Ik heff allens sehn, aver ik warr nix seggen."
19049,"Mutianus versuchte, christliche Theologie und antike Philosophie zu vereinen.","Mutianus hett versöcht, christliche Theologie un antike Philosophie to vereenen."
19137,Später leitete er das ZDF-Landesstudio Hessen.,Later hett he dat ZDF-Landesstudio Hessen leit.
7565,"Papa, darf ich hinaus gehen und spielen?","Papa, dröff ik rutgahn un spelen?"
14993,Unter dem Tisch ist ein kleiner brauner Hund.,Ünner ’n Disch is en lütten brunen Hund.
20476,Mit dem Geld aus der Erbschaft und der Mitgift Camilles war der Familie erstmals das Leben in bürgerlichem Wohlstand möglich.,Mit dat Geld ut sien Arvdeel un de Mitgift vun Camille kunn de Familie eerstmals in börgerlichen Wohlsltand leven.
7731,Es gab dieses Jahr eine Menge Regen.,Dat hett dit Jahr en Barg Regen geven.
36504,Zu diesem Zeitpunkt war er Stabschef des Gruppenkommandos I in Berlin.,To de Tietpunkt weer he Stabschef vun dat Gruppenkommando I in Berlin.
42694,Im August 1972 trat Peters der FDP bei.,In’n August 1972 is Peters in de FDP ringahn.
